time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
54,0.9999572133081412,2.2402466020403734e-05,1.2513089128513798e-05,6.996565964330296e-06,3.2964589639633124e-06,2.0182401820183546e-06,6.054720546055064e-07,4.709227091376161e-07,0.9999995963519637
55,0.9999536477504863,2.415160751148631e-05,1.3858582583192701e-05,7.803862037137637e-06,3.7673816731009287e-06,2.22006420022019e-06,7.400214000733967e-07,4.709227091376161e-07,0.9999999327253273
56,0.9999491403474131,2.583347432983494e-05,1.527135071060555e-05,8.678432782678925e-06,4.171029709504599e-06,2.22006420022019e-06,8.74570745541287e-07,5.381973818715612e-07,0.999999461802618
57,0.9999442965709763,2.7918989184587237e-05,1.708776687442207e-05,9.687552873688102e-06,4.507403073174325e-06,2.4218882184220256e-06,9.418454182752322e-07,6.054720546055064e-07,0.9999995963519636
58,0.9999401928159395,2.9668130675669813e-05,1.8635084347302807e-05,1.0898496982899114e-05,4.372853727706435e-06,2.758261582091751e-06,1.0763947637431225e-06,8.072960728073419e-07,1.0000002018240182
59,0.9999352817648299,3.134999749401844e-05,2.0115127147449602e-05,1.2243990437578018e-05,4.507403073174325e-06,2.8255362548256965e-06,1.278218781944958e-06,8.74570745541287e-07,0.9999998654506544
60,0.999929697966993,3.309913898510101e-05,2.1796993965798228e-05,1.372403323772481e-05,4.978325782311941e-06,3.161909618495422e-06,1.345493454678903e-06,9.418454182752322e-07,0.9999992599786
61,0.9999245178171925,3.525192851258726e-05,2.3949783493284473e-05,1.5204076037871604e-05,5.381973818715612e-06,3.498282982165148e-06,1.5473174728807386e-06,1.0091200910091773e-06,0.9999999327253273
62,0.9999183958219737,3.747199271280745e-05,2.5564375638899158e-05,1.708776687442207e-05,5.852896527853228e-06,3.7001070003669833e-06,1.6818668183486289e-06,1.2109441092110128e-06,0.999999730901309
63,0.9999122065520822,3.989388093122947e-05,2.751534114818357e-05,1.890418303823859e-05,6.323819236990844e-06,3.9019310185688186e-06,1.9509655092844093e-06,1.345493454678903e-06,0.9999998654506546
64,0.9999055463594816,4.2517593167853336e-05,2.926448263926614e-05,2.1124247238458777e-05,6.458368582458735e-06,4.036480364036709e-06,2.0855148547522996e-06,1.345493454678903e-06,0.9999997981759818
65,0.9998982134201535,4.493948138627536e-05,3.1417272166752386e-05,2.3546135456880804e-05,7.131115309798186e-06,4.44012840044038e-06,2.152789527486245e-06,1.5473174728807386e-06,0.9999996636266363
66,0.9998906113821346,4.7697742968367114e-05,3.3637336366972575e-05,2.6035298348036774e-05,7.669312691669748e-06,4.776501764110106e-06,2.2873388729541353e-06,1.749141491082574e-06,0.9999997309013091
67,0.9998823365973883,5.079237791412859e-05,3.579012589445882e-05,2.8659010584660635e-05,8.20751007354131e-06,4.843776436844051e-06,2.4891628911559705e-06,1.8836908365504643e-06,0.9999994618026182
68,0.9998734563405874,5.442521024176163e-05,3.827928878561479e-05,3.168637085768817e-05,8.812982128146814e-06,5.112875127779832e-06,2.758261582091751e-06,2.0182401820183546e-06,0.9999998654506546
69,0.9998639033370592,5.82598665875965e-05,4.049935298583498e-05,3.491555514891753e-05,9.620278200954157e-06,5.516523164183502e-06,2.960085600293587e-06,2.0855148547522996e-06,0.9999996636266363
70,0.9998538794108218,6.249817096983505e-05,4.312306522245884e-05,3.807746476741296e-05,1.0293024928293609e-05,5.987445873321118e-06,3.2964589639633124e-06,2.152789527486245e-06,0.999999730901309
71,0.9998431154631845,6.646737666113781e-05,4.608315082275243e-05,4.150847307684416e-05,1.096577165563306e-05,6.525643255192679e-06,3.498282982165148e-06,2.623712236623861e-06,0.9999997981759818
72,0.9998320151421833,7.057113169790846e-05,4.9043236423046015e-05,4.534312942267903e-05,1.1436694364770675e-05,6.79474194612846e-06,3.7673816731009287e-06,2.8255362548256965e-06,0.999999798175982
73,0.999819703877073,7.521308411655068e-05,5.2205146041541435e-05,4.9312335113981796e-05,1.2109441092110127e-05,7.332939328000021e-06,3.969205691302764e-06,3.094634945761477e-06,0.9999995290772907
74,0.9998072580626173,8.025868457159657e-05,5.556887967823869e-05,5.341609015075245e-05,1.2782187819449579e-05,8.005686055339473e-06,4.171029709504599e-06,3.565557654899093e-06,1.0000000672746727
75,0.9997935340293795,8.503518633570667e-05,5.920171200587173e-05,5.819259191486256e-05,1.3454934546789031e-05,8.476608764477089e-06,4.44012840044038e-06,3.7673816731009287e-06,0.9999997309013091
76,0.9997793390734326,9.028261080895439e-05,6.296909367897266e-05,6.310364302444055e-05,1.4127681274128481e-05,9.082080819082596e-06,4.776501764110106e-06,4.036480364036709e-06,0.999999730901309
77,0.9997640004480494,9.600095799133973e-05,6.740922207941304e-05,6.828379282495433e-05,1.5204076037871604e-05,9.553003528220212e-06,4.978325782311941e-06,4.372853727706435e-06,1.0000000672746727
78,0.9997478545265932,0.00010198840386466084,7.171480113438553e-05,7.34639426254681e-05,1.6145921456146837e-05,1.0293024928293609e-05,5.381973818715612e-06,4.507403073174325e-06,0.999999529077291
79,0.999730699485046,0.00010851404711985354,7.602038018935802e-05,7.918228980785344e-05,1.708776687442207e-05,1.096577165563306e-05,5.651072509651393e-06,4.978325782311941e-06,0.9999993945279454
80,0.9997122662247169,0.00011564516242965171,8.099870597166996e-05,8.557338371757824e-05,1.8433260329100973e-05,1.1436694364770675e-05,5.987445873321118e-06,5.247424473247722e-06,0.9999997309013091
81,0.9996926220202786,0.00012317992577585358,8.617885577218374e-05,9.216630164550486e-05,1.971147911104593e-05,1.2243990437578018e-05,6.323819236990844e-06,5.651072509651393e-06,0.9999997981759818
82,0.9996718341464038,0.00013091651314025727,9.176265360910119e-05,9.936469162803699e-05,2.0855148547522996e-05,1.3118561183119304e-05,7.063840637064241e-06,6.256544564256899e-06,1.0000001345493454
83,0.9996491625816925,0.00013952767125020225,9.748100079148653e-05,0.00010669763095603701,2.22006420022019e-05,1.3858582583192701e-05,7.467488673467912e-06,6.458368582458735e-06,0.9999993272532727
84,0.9996254818968902,0.00014834065337834907,0.00010387209470121132,0.00011490514102957831,2.3815234147816585e-05,1.4733153328733988e-05,8.140235400807364e-06,7.131115309798186e-06,0.9999997309013091
85,0.9996002538946149,0.00015816275559750505,0.00011033046328367005,0.00012344902446678936,2.5362551620697324e-05,1.5809548092477112e-05,8.409334091743144e-06,7.400214000733967e-06,0.9999995963519637
86,0.9995732767508486,0.00016832123118033077,0.00011759612793893613,0.00013239655594040405,2.6977143766312006e-05,1.6482294819816562e-05,9.082080819082596e-06,8.140235400807364e-06,0.9999997309013092
87,0.9995444831909185,0.00017935427750869777,0.00012526544063060587,0.00014201683414135822,2.872628525739458e-05,1.7693238929027576e-05,9.754827546422048e-06,9.216630164550486e-06,1.0000003363733638
88,0.9995140750388427,0.00019106007056440423,0.00013327112668594534,0.0001524444084151197,3.081180011214688e-05,1.8971457710972532e-05,1.0293024928293609e-05,9.620278200954157e-06,1.000000470922709
89,0.9994811104492031,0.00020350588502018407,0.00014188228479589032,0.00016320835605255094,3.2493666930495505e-05,1.998057780198171e-05,1.110032100110095e-05,1.0293024928293609e-05,0.9999999999999999
90,0.9994460603447087,0.00021702809423970707,0.00015103164028770687,0.00017451050107185372,3.47137311307157e-05,2.152789527486245e-05,1.1436694364770675e-05,1.069667296469728e-05,0.9999993272532728
91,0.999409059274705,0.0002312230501865695,0.00016078646783412891,0.0001871581395458354,3.700107000366983e-05,2.2738839384073463e-05,1.2445814455779854e-05,1.1840342401174347e-05,1.0000000672746727
92,0.9993695017671375,0.0002462925768789732,0.0001713485914533583,0.00020014215138348682,3.942295822209186e-05,2.442070620242209e-05,1.318583585585325e-05,1.2580363801247743e-05,0.9999998654506547
93,0.9993293387875153,0.00026082390618950536,0.00018238163778172531,0.00021400073396667953,4.0432078313101035e-05,2.6035298348036774e-05,1.3925857255926647e-05,1.332038520132114e-05,0.9999998654506546
